n°_evaluation,fitness,precision,f-measure,time
0,,,,0.015625
1,0.9285714285714286,0.12903225806451613,0.22657952069716772,0.046875
2,1.0,0.16326530612244894,0.28070175438596484,0.328125
3,0.9285714285714286,0.13559322033898302,0.23663253697383388,0.03125
4,0.6666666666666667,0.11111111111111116,0.19047619047619055,0.015625
5,0.8636363636363636,0.1477272727272727,0.2522982635342186,0.96875
6,0.8,0.11764705882352944,0.20512820512820518,0.015625
7,0.8235294117647058,0.136986301369863,0.2348993288590604,0.109375
8,1.0,0.14893617021276595,0.25925925925925924,0.28125
9,1.0,0.18181818181818177,0.30769230769230765,0.046875
10,1.0,0.12676056338028174,0.2250000000000001,0.0625
11,0.8571428571428572,0.14141414141414144,0.24277456647398848,0.28125
12,1.0,0.1460674157303371,0.25490196078431376,0.1875
13,1.0,0.16000000000000003,0.27586206896551724,0.125
14,1.0,0.16326530612244894,0.28070175438596484,0.265625
15,1.0,0.15068493150684936,0.261904761904762,0.078125
16,0.8181818181818181,0.12195121951219512,0.2122641509433962,0.03125
17,0.9285714285714286,0.12903225806451613,0.22657952069716772,0.03125
18,0.9230769230769231,0.12727272727272732,0.2237017310252997,0.03125
19,1.0,0.16393442622950816,0.2816901408450704,0.765625
20,0.95,0.14942528735632188,0.25823314166231054,0.15625
21,1.0,0.15714285714285714,0.271604938271605,0.0625
22,1.0,0.1444444444444445,0.2524271844660195,0.28125
23,0.6666666666666667,0.11111111111111116,0.19047619047619055,0.015625
24,0.9166666666666666,0.11764705882352944,0.20853080568720386,0.03125
25,0.9285714285714286,0.15094339622641506,0.25967540574282144,0.03125
26,1.0,0.15492957746478875,0.2682926829268293,0.078125
27,0.9285714285714286,0.13559322033898302,0.23663253697383388,0.03125
28,0.8181818181818181,0.12195121951219512,0.2122641509433962,0.03125
29,1.0,0.1460674157303371,0.25490196078431376,0.171875
30,0.8181818181818181,0.1063829787234043,0.18828451882845196,0.015625
31,1.0,0.1166666666666667,0.20895522388059706,0.046875
32,0.6666666666666667,0.11111111111111116,0.19047619047619055,0.015625
33,0.8181818181818181,0.12195121951219512,0.2122641509433962,0.015625
34,1.0,0.1428571428571429,0.2500000000000001,0.234375
35,0.8333333333333334,0.125,0.21739130434782608,0.03125
36,0.9285714285714286,0.12903225806451613,0.22657952069716772,0.03125
37,1.0,0.16326530612244894,0.28070175438596484,0.265625
38,0.8333333333333334,0.12121212121212122,0.21164021164021166,0.171875
39,1.0,0.1839080459770115,0.3106796116504854,0.234375
40,0.95,0.14457831325301207,0.2509631260319208,0.171875
41,1.0,0.15384615384615385,0.2666666666666667,0.125
42,1.0,0.1428571428571429,0.2500000000000001,0.359375
43,0.9285714285714286,0.15094339622641506,0.25967540574282144,0.0625
44,0.9285714285714286,0.13559322033898302,0.23663253697383388,0.046875
45,1.0,0.15662650602409633,0.27083333333333326,0.15625
46,0.9333333333333333,0.140625,0.24442289039767218,0.046875
47,0.9166666666666666,0.125,0.22000000000000003,0.03125
48,1.0,0.14457831325301207,0.25263157894736843,0.109375
49,1.0,0.14893617021276595,0.25925925925925924,0.265625
50,0.8181818181818181,0.10256410256410253,0.18227848101265817,0.015625
51,1.0,0.17142857142857137,0.2926829268292682,0.125
52,1.0,0.15000000000000002,0.26086956521739135,0.109375
53,0.9411764705882353,0.14473684210526316,0.25089094796863864,0.09375
54,0.9166666666666666,0.125,0.22000000000000003,0.03125
55,0.9285714285714286,0.13559322033898302,0.23663253697383388,0.03125
56,1.0,0.17500000000000004,0.29787234042553196,1.5625
57,1.0,0.15841584158415845,0.27350427350427353,0.328125
58,1.0,0.1428571428571429,0.2500000000000001,0.25
59,1.0,0.15702479338842978,0.27142857142857146,0.65625
60,1.0,0.16666666666666663,0.2857142857142857,0.421875
61,0.8181818181818181,0.12195121951219512,0.2122641509433962,0.015625
