n°_evaluation,fitness,precision,f-measure,time
0,,,,0.015625
1,1.0,0.4285714285714286,0.6,0.0
2,0.23809523809523814,0.35,0.2834008097165992,0.0625
3,0.19999999999999996,0.3529411764705882,0.25531914893617014,0.09375
4,0.15625,0.3571428571428571,0.21739130434782608,0.140625
5,0.19999999999999996,0.35,0.2545454545454545,0.09375
6,0.18000000000000005,0.25,0.2093023255813954,0.0625
7,0.20454545454545459,0.25,0.22500000000000003,0.046875
8,0.26086956521739135,0.2571428571428571,0.2589928057553957,0.125
9,0.26086956521739135,0.23529411764705888,0.24742268041237117,0.0625
10,0.21739130434782605,0.3571428571428571,0.27027027027027023,0.078125
11,0.15909090909090906,0.0,0.0,0.09375
12,1.0,0.4285714285714286,0.6,0.0
13,0.23809523809523814,0.0,0.0,0.046875
14,0.5,0.3529411764705882,0.41379310344827586,0.015625
15,0.18000000000000005,0.375,0.24324324324324328,0.078125
16,0.18867924528301883,0.3571428571428571,0.24691358024691354,0.125
17,0.19047619047619047,0.25,0.2162162162162162,0.046875
18,0.2142857142857143,0.36363636363636365,0.26966292134831465,0.0625
19,0.23809523809523814,0.35,0.2834008097165992,0.0625
20,0.23809523809523814,0.3571428571428571,0.2857142857142857,0.09375
21,0.31034482758620685,0.3529411764705882,0.33027522935779813,0.03125
22,0.21739130434782605,0.35,0.268199233716475,0.078125
23,0.17543859649122806,0.3571428571428571,0.2352941176470588,0.09375
24,0.20454545454545459,0.25,0.22500000000000003,0.09375
25,0.23809523809523814,0.35,0.2834008097165992,0.0625
26,0.1428571428571429,0.2857142857142857,0.19047619047619052,0.109375
27,0.3846153846153846,0.3529411764705882,0.3680981595092024,0.078125
28,0.23809523809523814,0.3529411764705882,0.2843601895734597,0.0625
29,1.0,0.4117647058823529,0.5833333333333334,0.015625
30,0.19999999999999996,0.3529411764705882,0.25531914893617014,0.078125
31,0.23809523809523814,0.35,0.2834008097165992,0.0625
32,0.21739130434782605,0.35,0.268199233716475,0.109375
33,0.21739130434782605,0.3571428571428571,0.27027027027027023,0.0625
34,0.22448979591836737,0.25,0.23655913978494625,0.09375
35,0.20833333333333337,0.35,0.2611940298507463,0.09375
36,0.15625,0.3571428571428571,0.21739130434782608,0.109375
37,0.15625,0.3571428571428571,0.21739130434782608,0.140625
38,0.1694915254237288,0.3571428571428571,0.22988505747126434,0.109375
39,0.16393442622950816,0.25,0.198019801980198,0.078125
40,0.20833333333333337,0.35,0.2611940298507463,0.125
41,0.20833333333333337,0.35,0.2611940298507463,0.078125
42,0.18181818181818177,0.3571428571428571,0.24096385542168672,0.09375
43,0.2272727272727273,0.3571428571428571,0.2777777777777778,0.09375
44,0.23809523809523814,0.3571428571428571,0.2857142857142857,0.0625
45,0.7142857142857143,0.35,0.4697986577181208,0.015625
46,0.4285714285714286,0.3571428571428571,0.38961038961038963,0.03125
47,0.29032258064516125,0.3529411764705882,0.3185840707964602,0.03125
48,0.3846153846153846,0.3571428571428571,0.3703703703703703,0.046875
49,0.40909090909090906,0.3529411764705882,0.3789473684210526,0.015625
50,0.196078431372549,0.3571428571428571,0.2531645569620253,0.109375
51,0.20833333333333337,0.3571428571428571,0.2631578947368421,0.078125
52,0.20833333333333337,0.3571428571428571,0.2631578947368421,0.078125
53,0.19047619047619047,0.375,0.25263157894736843,0.046875
54,0.23809523809523814,0.35,0.2834008097165992,0.109375
55,0.23809523809523814,0.35,0.2834008097165992,0.0625
56,0.23809523809523814,0.35,0.2834008097165992,0.078125
57,0.2142857142857143,0.3571428571428571,0.2678571428571429,0.0625
58,0.18518518518518523,0.3571428571428571,0.2439024390243903,0.109375
59,0.17391304347826086,0.25,0.20512820512820512,0.0625
60,0.16981132075471694,0.36363636363636365,0.23151125401929257,0.09375
61,0.2727272727272727,0.25806451612903225,0.26519337016574585,0.09375
62,0.16981132075471694,0.3529411764705882,0.22929936305732482,0.09375
63,0.4285714285714286,0.3529411764705882,0.3870967741935484,0.015625
64,0.1515151515151515,0.3571428571428571,0.21276595744680848,0.15625
65,0.15625,0.0,0.0,0.09375
66,0.23809523809523814,0.35,0.2834008097165992,0.0625
67,0.23809523809523814,0.35,0.2834008097165992,0.109375
68,0.23809523809523814,0.3571428571428571,0.2857142857142857,0.0625
69,0.2142857142857143,0.3529411764705882,0.26666666666666666,0.0625
70,0.6666666666666667,0.375,0.48,0.0
71,0.2571428571428571,0.35,0.2964705882352941,0.046875
72,0.28125,0.3571428571428571,0.3146853146853147,0.046875
73,0.6,0.23529411764705888,0.33802816901408456,0.03125
74,0.15384615384615385,0.2222222222222222,0.18181818181818185,0.140625
75,0.26315789473684215,0.35,0.30042918454935624,0.046875
76,0.19565217391304346,0.3571428571428571,0.2528089887640449,0.078125
77,0.2702702702702703,0.35,0.3050108932461874,0.09375
78,0.20833333333333337,0.3529411764705882,0.26200873362445415,0.078125
79,0.23809523809523814,0.35,0.2834008097165992,0.0625
80,0.23809523809523814,0.35,0.2834008097165992,0.0625
81,0.2264150943396226,0.2432432432432432,0.23452768729641688,0.125
82,0.23809523809523814,0.35,0.2834008097165992,0.078125
83,0.23809523809523814,0.35,0.2834008097165992,0.0625
84,0.21739130434782605,0.3571428571428571,0.27027027027027023,0.078125
85,0.23809523809523814,0.3571428571428571,0.2857142857142857,0.09375
86,0.2142857142857143,0.36363636363636365,0.26966292134831465,0.0625
87,0.19999999999999996,0.25,0.22222222222222218,0.046875
88,0.19999999999999996,0.35,0.2545454545454545,0.09375
89,0.20833333333333337,0.3571428571428571,0.2631578947368421,0.09375
90,0.2142857142857143,0.0,0.0,0.0625
91,0.23809523809523814,0.35,0.2834008097165992,0.0625
92,1.0,0.4117647058823529,0.5833333333333334,0.015625
93,0.8888888888888888,0.36363636363636365,0.5161290322580644,0.0
94,0.8888888888888888,0.36363636363636365,0.5161290322580644,0.015625
95,0.6153846153846154,0.2857142857142857,0.3902439024390244,0.0
96,0.8888888888888888,0.375,0.5274725274725275,0.015625
97,0.8181818181818181,0.35,0.49027237354085607,0.0
98,0.21739130434782605,0.3571428571428571,0.27027027027027023,0.109375
